protein_id,coScRMSD_ca
s42_n300,5.4136
s42_n400,2.0185
s42_n500,6.8317
s43_n300,3.4321
s43_n400,1.4231
s43_n500,2.6372
s44_n300,0.9327
s44_n400,2.9157
s44_n500,2.1475
s45_n300,2.2703
s45_n400,1.2027
s45_n500,22.6170
s46_n300,0.9650
s46_n400,3.8950
s46_n500,16.9629
s47_n300,1.0344
s47_n400,3.0596
s47_n500,4.6533
s48_n300,4.4844
s48_n400,7.7572
s48_n500,3.9051
s49_n300,1.5027
s49_n400,2.6437
s49_n500,0.8367
s50_n300,2.0702
s50_n400,6.6067
s50_n500,27.4211
s51_n300,0.9450
s51_n400,0.8562
s51_n500,15.1935
s52_n300,0.9201
s52_n400,1.3210
s52_n500,11.5478
s53_n300,1.2092
s53_n400,1.0450
s53_n500,7.2829
s54_n300,0.4688
s54_n400,4.3585
s54_n500,25.7355
s55_n300,1.2685
s55_n400,1.2311
s55_n500,5.6496
s56_n300,1.0971
s56_n400,6.3131
s56_n500,14.9988
s57_n300,1.2994
s57_n400,19.5207
s57_n500,16.6149
