protein_id,coScRMSD_ca
s42_n300,5.2204
s42_n400,2.0426
s42_n500,2.7626
s43_n300,1.0169
s43_n400,1.5601
s43_n500,1.9612
s44_n300,0.9127
s44_n400,2.9505
s44_n500,1.5839
s45_n300,0.8643
s45_n400,0.6870
s45_n500,19.8591
s46_n300,0.8641
s46_n400,4.1035
s46_n500,16.7655
s47_n300,0.6435
s47_n400,1.4081
s47_n500,6.0492
s48_n300,3.4692
s48_n400,2.5543
s48_n500,8.8980
s49_n300,1.5323
s49_n400,2.8162
s49_n500,0.9089
s50_n300,1.7836
s50_n400,10.4648
s50_n500,26.5666
s51_n300,0.6026
s51_n400,2.1364
s51_n500,2.9628
s52_n300,0.9135
s52_n400,1.0779
s52_n500,8.6011
s53_n300,0.9435
s53_n400,0.8262
s53_n500,3.1135
s54_n300,0.7848
s54_n400,1.5645
s54_n500,24.9111
s55_n300,1.8288
s55_n400,1.2731
s55_n500,6.4881
s56_n300,1.1709
s56_n400,8.1746
s56_n500,9.6150
s57_n300,1.1358
s57_n400,10.1468
s57_n500,15.3636
