protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7896930000000001,592.591,486,-12.844279772125638,5.047041130065917,0.3586082112741793,0.19,3.887357890744316,2622.4399415767743,8,7.596692477995623,26.290755165972584,-41.69567387192839,18.07364845275879
s42_n400,400,0.8169602499999999,1057.56,1050,-35.84352340958924,4.629842948913574,0.3248587428737768,0.01,3.569987197356904,2320.5137455846284,6,6.759316782570113,34.83390359349306,-88.15360504146574,20.91217803955078
s42_n500,500,0.8093786000000001,1016.58,263,-20.215103946242024,4.9150609970092765,0.391493033277847,0.14,3.6502593411703845,2066.540003480324,5,6.715816228497019,54.880252112372034,-78.52932374819378,22.12134552001953
s43_n300,300,0.78551,637.01,986,-5.9379473437018575,5.622706413269043,0.30983689598097264,0.03666666666666667,3.826198204094577,2526.9208221460362,9,9.682953220083165,31.072715159306153,-28.190989639523792,17.683963775634766
s43_n400,400,0.8176095000000001,1086.5,3049,-10.280403491964137,5.303839683532714,0.1901505000665734,0.0,3.5300223145604446,2431.5098786380313,8,6.097995660974892,57.0689977366309,-64.76540978075855,23.148618698120117
s43_n500,500,0.7936358,546.158,1543,-4.606980910560338,6.3924768447875975,0.46298186653560286,0.312,3.6417312646917877,1439.0529523614698,2,11.622898991131953,55.98792794060624,-55.64400517402703,21.821151733398438
s44_n300,300,0.810373,705.939,1103,-8.145698378399523,5.376650428771973,0.17293641846587193,0.0,3.3088567870058845,1146.9666048802985,2,1.5268012715091634,42.2153308328752,-54.03571986727827,18.32244873046875
s44_n400,400,0.774644,1430.44,2204,-12.214689831801923,4.103229713439941,0.45012170388463973,0.2475,3.4373265090428196,2049.414419884684,3,8.407429816340478,4.385489754301878,-7.415429456333212,19.4842472076416
s44_n500,500,0.8103716,1452.24,82,-5.252865481046925,5.714785575866699,0.31827455564077284,0.028,3.6846970494681277,1906.702542041274,2,4.181603941564028,76.39721078597813,-56.39485252821824,23.68643569946289
s45_n300,300,0.794981,531.418,510,-20.921441787465007,4.8289499282836905,0.2811866736630395,0.0,3.680988880649527,1339.3496969635316,3,3.945824434761553,29.143493828080413,-57.82762666027479,17.332290649414062
s45_n400,400,0.80759125,883.984,323,-45.503382858011484,4.643029594421387,0.6526351463068454,0.8275,3.8006423208120577,1017.1051710130483,1,2.434219777624279,25.702920595473017,-96.23841009588412,19.289045333862305
s45_n500,500,0.8115209999999999,768.566,872,-38.212996531495506,4.952574729919433,0.35081031743616475,0.146,3.6938231542423936,2842.6639320527347,3,9.478804923304995,67.82895139856134,-92.52694024505318,24.050600051879883
s46_n300,300,0.806605,510.522,1440,-37.862340424039516,4.302393531799317,0.4182634332416751,0.25,3.5979676752040466,1471.5616152971634,4,4.595262040031627,16.55915796857302,-70.01798633911477,17.858434677124023
s46_n400,400,0.7700239999999999,1829.05,1382,-10.396164436588329,4.589828300476075,0.2587987862760022,0.0,3.5683370364524807,5212.031648702111,23,15.317614025360024,15.01861073299664,-12.780310829033654,19.804550170898438
