protein_id,coScRMSD_ca
s42_n300,5.3910
s42_n400,2.2638
s42_n500,2.9440
s43_n300,4.5347
s43_n400,1.7782
s43_n500,2.1572
s44_n300,1.5536
s44_n400,3.2426
s44_n500,1.8402
s45_n300,1.5083
s45_n400,3.0907
s45_n500,20.3727
s46_n300,0.8560
s46_n400,3.8927
s46_n500,15.2556
s47_n300,0.8786
s47_n400,2.2936
s47_n500,4.9069
s48_n300,16.8303
s48_n400,12.4960
s48_n500,13.1962
s49_n300,1.6970
s49_n400,2.8544
s49_n500,0.9485
s50_n300,2.5437
s50_n400,8.1211
s50_n500,25.3307
s51_n300,1.0547
s51_n400,9.8678
s51_n500,9.1721
s52_n300,0.9320
s52_n400,1.3269
s52_n500,8.8459
s53_n300,1.4011
s53_n400,1.3668
s53_n500,6.8773
s54_n300,1.8230
s54_n400,4.6326
s54_n500,24.5134
s55_n300,1.1837
s55_n400,1.4563
s55_n500,6.5957
s56_n300,13.2158
s56_n400,7.0604
s56_n500,14.4652
s57_n300,3.6427
s57_n400,14.0054
s57_n500,19.3925
