protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.787883,359.353,468,-4.665444245965183,6.005346488952636,0.30197516910476874,0.09,3.715987790478232,2761.4711567458485,5,8.780905426803292,32.66191219837326,-35.306585136716386,18.083942413330078
s43_n300,300,0.7849586666666666,433.249,803,-4.211382456592823,5.551316642761231,0.2922600320683842,0.0,3.6441429808354107,2786.3870252527313,6,10.793004003891415,32.47640067235932,-27.805417444286306,17.64412498474121
s44_n300,300,0.7556003333333333,442.845,770,-3.7032669701703185,6.083045387268065,0.12798615643869296,0.0,2.8206237783489914,942.3031812805411,0,2.98191315934617,2.351964745028851,-4.113778930998027,18.329038619995117
s45_n300,300,0.7921736666666668,219.863,51,-3.522576229471433,6.241000938415527,0.32768303082818934,0.06666666666666667,3.3100249310962173,1581.1939748567283,3,5.4315700616952265,44.636249303536005,-40.670824448898315,17.200429916381836
s46_n300,300,0.8055176666666667,311.584,581,-22.938599296938243,4.66320743560791,0.4439250414455514,0.3466666666666667,3.5215448217206906,1435.5307017942803,2,5.17232778990071,30.63453898734589,-53.36188128737136,17.882286071777344
s47_n300,300,0.7960133333333335,246.346,694,2.284638377307097,9.650417518615722,0.3102065686381268,0.03333333333333333,3.1328919944551816,1894.6020980462406,4,6.994466919163017,50.79439371518969,-28.007307406947866,17.301902770996094
s48_n300,300,0.7879039999999999,316.276,965,8.157871279570188,10.94694118499756,0.25796422715027945,0.03666666666666667,3.351079160084037,1038.369373314122,1,2.2707676519525655,71.83127106610036,-35.243694214479305,18.051311492919922
s49_n300,300,0.7708456666666668,895.154,2230,6.106361320614349,9.846917152404785,0.3800402609753446,0.04,3.541523407267606,2088.7990762281775,7,7.5207648439351305,12.17895542495684,-6.689399142116821,17.412017822265625
s50_n300,300,0.781665,547.813,566,-8.903257686060503,5.29093723297119,0.30215423174083506,0.12333333333333334,4.015378576582492,2679.042075889905,11,10.671272450399915,28.756973145588105,-29.57354461886844,18.01590347290039
s51_n300,300,0.8021153333333333,314.028,576,-0.785249554875044,6.698952674865722,0.4560368496952002,0.31333333333333335,3.32165635217653,1611.5523224369658,2,5.256250989102714,47.01990813072385,-31.81204461492202,17.46847915649414
s52_n300,300,0.7898170000000001,276.582,1355,-2.1532376853110335,6.084295845031736,0.203255824555511,0.0,3.349953877033938,2771.036870808101,6,8.519214874273445,46.35195552131638,-34.465263258545136,17.596715927124023
s53_n300,300,0.8120006666666668,293.74,737,-44.927224569792585,4.081574058532715,0.5792148152176665,0.6566666666666666,3.3857661164857897,974.0097411243355,1,3.3947650675197796,11.979125960835033,-90.28330015213916,17.190860748291016
s54_n300,300,0.7485986666666666,522.398,156,-5.658487204484978,5.829259300231934,0.0612865226889933,0.0,2.8572350193599547,886.3133078984639,0,3.696187181962489,1.216673495558202,-2.0158460747091866,18.3349552154541
s55_n300,300,0.794088,377.344,1454,-1.8130440786531494,6.416633415222168,0.352208428171473,0.17333333333333334,3.452682539516836,2141.5156084428572,3,10.00580882352466,38.377016294532545,-32.378012612245186,18.1687068939209
s56_n300,300,0.8041826666666667,486.217,757,-33.01794084918523,4.612052345275878,0.2048438362843216,0.0,3.4366189516324024,1532.9060335605604,3,3.233809470493344,23.582044257457458,-75.64277426671518,19.003036499023438
s57_n300,300,0.7523593333333334,586.584,344,-7.622659151230957,5.533980751037597,0.09488891539190417,0.0,3.05167530119897,674.8502930984928,0,3.024352174180223,1.7887311656669875,-3.9418430843874406,18.095741271972656
