protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.790238,592.718,486,-12.844279772125638,5.047041130065917,0.35704045768957887,0.18,3.8794748086418873,2593.28221255618,7,7.700413180960133,26.169495696020366,-41.748319862916304,18.077049255371094,1.744245
s42_n400,400,0.81582175,1068.94,1051,-32.93731752278926,4.659228706359863,0.315514579225913,0.005,3.5697892415236288,2411.367200980347,6,6.9501041032532695,36.72577690517611,-84.19100849747035,20.91136932373047,2.454814
s42_n500,500,0.8079762,988.132,444,-20.404730716914926,4.849809837341308,0.37393214842282474,0.122,3.6341405894226426,2258.962174439874,7,7.429589886568569,55.505003653599154,-76.27320028043553,22.121442794799805,2.261232
s43_n300,300,0.78551,637.01,986,-5.9379473437018575,5.622706413269043,0.30983689598097264,0.03666666666666667,3.826198204094577,2526.593792567186,9,9.683021777052158,31.071408515662053,-28.180240063849432,17.683982849121094,1.429072
s43_n400,400,0.81540775,1116.37,3097,-8.288834877883772,5.400579643249511,0.17911481911389088,0.0,3.539830665152936,2509.488432110231,7,6.357623728914877,58.3840464581499,-61.29921294103417,23.152265548706055,1.810334
s43_n500,500,0.7932531999999999,562.942,1801,-7.606839150819496,6.151991081237792,0.44934053295962095,0.284,3.651553757031772,1460.076468924573,2,10.677940140282313,55.60987583951788,-58.39928280933925,21.81850242614746,3.062981
s44_n300,300,0.8097853333333334,739.901,1114,-7.063146113092351,5.514371299743652,0.17458601457705736,0.0,3.322923648751206,1151.1092084077895,1,1.5337405477865684,43.6095205263447,-52.024192392464876,18.329423904418945,1.770982
s44_n400,400,0.774644,1430.44,2204,-12.214689831801923,4.103229713439941,0.45012170388463973,0.2475,3.4373265090428196,2049.76092192048,3,8.413250776423823,4.387996346519641,-7.400479918812353,19.48418617248535,-0.838027
s44_n500,500,0.8114498,1488.31,67,-5.0765191025397485,5.851369667053221,0.32739384605589944,0.012,3.688882654069086,1880.4269399180062,2,3.8936873405283134,76.07204809845808,-56.057631985633236,23.686113357543945,2.210578
s45_n300,300,0.7945073333333332,520.168,601,-21.920432786566003,4.793880271911622,0.26862253232863365,0.0,3.6810492440828546,1320.6414616810966,3,3.979493605687772,27.59179205011584,-58.20143902632559,17.33271598815918,2.765933
s45_n400,400,0.8087152499999999,900.384,314,-47.409598744711474,4.637118339538574,0.6617363551084984,0.86,3.774027921925598,1039.504892265983,1,2.4596871863033396,25.52154631152187,-97.81232139437108,19.287073135375977,2.576288
s45_n500,500,0.8115209999999999,768.566,872,-38.212996531495506,4.952574729919433,0.35081031743616475,0.146,3.6938231542423936,2842.0243225677996,3,9.404202991750454,68.15176214460487,-92.53968439919522,24.050628662109375,2.901553
s46_n300,300,0.8068513333333334,501.062,1440,-37.862340424039516,4.302393531799317,0.4299952532416715,0.2833333333333333,3.6052278657028127,1479.608817278038,4,4.598720077456376,16.53093432791494,-69.92321020111376,17.858325958251953,2.249269
s46_n400,400,0.76993625,1823.83,1374,-10.483338624842915,4.526339149475096,0.25959292417645957,0.0,3.5512069047137746,5217.487646764719,23,15.382578310290398,14.888385181300936,-12.79780678079324,19.80514907836914,0.568987
s46_n500,500,0.8052952,558.232,42,-2.9608744351445324,6.497458457946778,0.5784727641201673,0.758,3.5391757086611553,816.4502522533867,1,0.6810343426655389,41.75894407351662,-53.74904759036532,23.795917510986328,1.379790
s47_n300,300,0.8051376666666668,457.75,2146,-19.013677276594642,4.813091850280761,0.40880401011115036,0.24,3.2690496932281,1402.37097405666,4,4.1182690340589705,32.77120126275453,-47.98601169413841,17.363554000854492,3.174292
s47_n400,400,0.7986255,508.143,118,2.692044350290203,8.446728324890138,0.46836986551069804,0.365,3.5021534369739076,613.8106581113642,1,2.1208120004019784,120.79212771155676,-97.14332949680178,20.77358055114746,5.711788
s47_n500,500,0.7862292,1112.8,593,2.454221336887973,8.677460670471191,0.2780893576666282,0.038,2.066206804424121,1087.7952798554734,3,1.2143415013178511,14.550398972246066,-3.7846634702707433,23.297910690307617,-2.598071
s48_n300,300,0.8070696666666667,662.183,1344,-17.770773001362485,5.043573951721191,0.3002612245366355,0.08333333333333333,3.8339110188623153,1573.2063739866699,4,3.0980007851602673,39.529347380601585,-65.29228890741524,18.11112403869629,2.514541
s48_n400,400,0.81871425,1012.13,1611,-39.17085300831016,4.509230613708497,0.35069274120194366,0.05,3.6368139146446614,1995.1545027933983,5,6.439259923798895,32.852258790840196,-87.20445366814347,20.553136825561523,2.360328
s48_n500,500,0.7965627999999999,1472.68,4702,37.657061695628364,9.70766544342041,0.2210381762435725,0.014,3.6116362818139383,2796.1778629414803,5,10.825444327449613,114.68698975455621,-25.255668864617046,21.465408325195312,0.076803
s49_n300,300,0.7706206666666668,893.656,2226,6.106361320614349,9.846917152404785,0.3844218528706191,0.08666666666666667,3.5023994838764447,2072.7254568630897,6,6.92133464804054,14.879796934983487,-7.237335145514795,17.36724281311035,0.291876
s49_n400,400,0.7856687499999999,565.937,582,-3.113926244711557,5.95538501739502,0.3262479060235901,0.12,3.9810723788936344,4116.460369860935,10,12.080711619745603,50.580673789623205,-33.797999486477096,20.297771453857422,1.503629
s49_n500,500,0.8070706,1114.96,3820,-6.34406948347312,5.660106468200683,0.05754277952616434,0.0,3.0707002082830495,1302.8344731968373,0,1.9419848087847102,85.43382817746789,-89.15691894731611,23.264041900634766,1.058372
s50_n300,300,0.7818146666666667,603.369,957,-9.89764812046933,5.196413993835448,0.2521335284662946,0.05,4.020024387400193,2739.1663001692705,10,9.396524238057221,31.07801252334609,-32.23578335001091,17.891319274902344,1.124123
s50_n400,400,0.79884075,844.149,729,-25.041164659536463,4.824857521057129,0.5550580506594115,0.6175,3.8514174325030113,2091.235504212602,4,7.694003732548263,19.443355483683906,-48.7202330032569,20.79420280456543,1.780634
s50_n500,500,0.7833935999999999,968.242,6249,-0.20412541214591307,5.57001667022705,0.17030066898446877,0.0,2.2123746286567094,9892.525202810151,27,66.01413568263011,0.0,0.0,20.59328842163086,1.088936
s51_n300,300,0.7956826666666666,495.447,1746,-4.132226607160028,5.6948350906372065,0.3700509400241186,0.19666666666666666,3.560659916110453,1566.0954723923826,4,5.154063322432526,42.72535716365215,-39.48381982561253,17.49616813659668,2.747441
s51_n400,400,0.8000614999999999,795.914,3720,-4.395887728663112,5.681080055236817,0.08160748440265335,0.0,3.3649168419329234,2094.9721656947654,4,4.145536025726976,71.12290203987615,-61.22269604476876,21.180421829223633,1.117233
s51_n500,500,0.7836602,1467.52,86,-3.2356734574734034,5.665051460266113,0.4901349618929755,0.394,3.7029505122769066,1869.5942771701816,4,7.57521617989058,16.195988786829083,-30.42175975185562,22.865612030029297,-0.427637
s52_n300,300,0.7953983333333334,584.203,1304,-16.12696930803608,4.849582481384277,0.2894107746218907,0.03666666666666667,3.6242698145798427,2001.1179559797258,4,5.0688231763782055,34.514055238393354,-49.88066045945007,17.532108306884766,2.463684
s52_n400,400,0.8098410000000001,1051.09,1744,-40.8315107561076,4.531682014465332,0.31628737574967025,0.0675,3.9108403113793826,2033.5446308907037,3,4.9814697101428855,37.481323697320086,-92.58982115038188,20.68749237060547,2.084645
s52_n500,500,0.7873748,874.657,1,2.295888488663934,7.772243309020996,0.20674643180529617,0.102,3.5074436035042953,1507.0717886544705,1,2.3342251335081095,98.89145795789003,-76.73013626217659,23.231800079345703,3.033193
s53_n300,300,0.814138,466.386,1631,-46.83611915862494,4.086348533630371,0.6154305582185082,0.81,3.4218056594365076,1162.0398195011926,1,2.1562756396916307,13.3562384400333,-90.55005756988115,17.233285903930664,2.474325
s53_n400,400,0.8122467499999999,921.367,1763,-14.263920511842457,5.206190299987792,0.09612153691678554,0.0,3.298990746140295,1188.5578640300503,1,1.8830493854125885,53.839684540335654,-69.8106222528491,20.576705932617188,1.970375
s53_n500,500,0.8096882000000001,1119.84,942,1.5543005132477887,8.375942039489747,0.49092153614522877,0.414,3.209499434739434,1072.2283417926897,2,3.284868532706641,45.090963085380885,-25.99512376651354,24.554941177368164,1.486977
s54_n300,300,0.7963533333333334,1025.32,963,-6.079840146032886,5.589569282531738,0.08053828108267018,0.0,3.366180293346371,1445.6491352389241,2,2.232653444538565,42.456329825482094,-51.984372028768696,18.2059383392334,0.119601
s54_n400,400,0.7905145,1031.42,1413,-24.503507949774985,4.924723625183105,0.3459094226294582,0.105,3.924525493522531,1328.049540640805,1,3.86756792699988,43.844096566394995,-76.60002866311225,21.564102172851562,1.908402
s54_n500,500,0.7958196000000001,1161.81,92,-3.514451588644932,4.0500284194946286,0.5508494003115854,0.624,2.5771308479141988,1899.1525102132741,6,6.073440311713249,0.7599035541548878,-3.6524946708731227,22.12355613708496,0.377617
s55_n300,300,0.7952763333333334,491.104,2262,-14.739297366662985,4.994806098937987,0.399784670265954,0.18,3.7248737365947675,2529.6754041937243,5,7.773932013041414,26.268746785813548,-48.9415827652825,18.133251190185547,1.907638
s55_n400,400,0.7923002499999999,780.977,1097,-16.886928078285145,5.046415901184082,0.20329334845094293,0.0,3.980640639292118,3609.012085654686,11,11.453272918022638,44.21536730103337,-66.16007645123709,21.209260940551758,1.181011
s55_n500,500,0.8131841999999999,1074.77,1930,-36.88631626582685,4.701175880432127,0.3515189300233169,0.298,3.671068608342175,2059.4009237556397,4,5.166101241632215,50.88262276676802,-94.29712310715139,21.774621963500977,2.055634
s56_n300,300,0.823095,560.04,748,-27.252055774592385,4.777510643005371,0.17033040288369405,0.0,3.257914801998092,1243.804670999953,3,1.5170109737341935,38.26128420029741,-89.04850002846811,19.157455444335938,3.269697
s56_n400,400,0.7692695,490.161,1602,-13.28625123099907,4.799393653869629,0.22706159472869708,0.0,3.33285300427123,2368.6750334744775,3,10.419556824254489,28.350738319821325,-28.47422157074128,23.83980941772461,0.560214
s56_n500,500,0.8020136,926.173,169,-35.12729098992903,4.683328437805175,0.4132751223509323,0.214,3.4940351886825542,1483.3356097379685,2,2.6828773246818884,58.55900285156937,-103.20912042081669,23.646835327148438,2.883832
s57_n300,300,0.8078203333333335,537.94,631,-11.090953531496893,5.305999565124511,0.13563614604608523,0.0,3.5055783855758946,709.8481825105283,0,1.6406428301793727,44.9137161533481,-50.63055129429229,18.134321212768555,2.038551
s57_n400,400,0.7827175,765.881,3,12.399354030232793,9.904938697814941,0.47560518182042877,0.305,3.878540259146244,1741.5761901469104,5,5.56252555553987,55.19144170089374,-18.02810451506197,19.144813537597656,2.050250
s57_n500,500,0.799375,1349.31,489,17.59394667669396,9.256322288513182,0.17373417060783566,0.0,3.1259671267020845,1752.3807327430768,3,3.0237168562325594,85.67651006612869,-42.000137822526916,21.944076538085938,0.944453
