protein_id,seed,length,coScRMSD_ca
s42_n300,42,300,5.296687602996826
s42_n400,42,400,2.0724730491638184
s42_n500,42,500,2.512737512588501
s43_n300,43,300,1.0188755989074707
s43_n400,43,400,2.5387980937957764
s43_n500,43,500,2.224991798400879
s44_n300,44,300,0.824368953704834
s44_n400,44,400,3.0174930095672607
s44_n500,44,500,1.656225562095642
s45_n300,45,300,1.6310545206069946
s45_n400,45,400,0.7143198847770691
s45_n500,45,500,20.0200309753418
s46_n300,46,300,0.7888835072517395
s46_n400,46,400,3.765530586242676
s46_n500,46,500,15.399399757385254
s47_n300,47,300,0.872307538986206
s47_n400,47,400,1.3257094621658323
s47_n500,47,500,5.192259311676025
s48_n300,48,300,1.5671353340148926
s48_n400,48,400,3.327660083770752
s48_n500,48,500,8.94533920288086
s49_n300,49,300,1.5344856977462769
s49_n400,49,400,2.817568778991699
s49_n500,49,500,0.9039973020553588
s50_n300,50,300,1.460147500038147
s50_n400,50,400,10.654688835144045
s50_n500,50,500,26.31402969360352
s51_n300,51,300,0.6634876728057861
s51_n400,51,400,2.0943362712860107
s51_n500,51,500,2.6848340034484863
s52_n300,52,300,0.9238255620002747
s52_n400,52,400,1.0334818363189697
s52_n500,52,500,11.962695121765137
s53_n300,53,300,0.833445131778717
s53_n400,53,400,1.0057947635650635
s53_n500,53,500,3.218308448791504
s54_n300,54,300,0.4814831614494324
s54_n400,54,400,1.537118673324585
s54_n500,54,500,24.512422561645508
s55_n300,55,300,1.8083401918411255
s55_n400,55,400,1.275283932685852
s55_n500,55,500,7.239370822906494
s56_n300,56,300,1.0560907125473022
s56_n400,56,400,6.175966739654541
s56_n500,56,500,15.344728469848633
s57_n300,57,300,1.3648929595947266
s57_n400,57,400,12.140501022338867
s57_n500,57,500,15.258905410766602
