protein_id,coScRMSD_ca
s42_n300,2.5428
s42_n400,26.9112
s42_n500,10.8429
s43_n300,4.6298
s43_n400,15.3575
s43_n500,15.5353
s44_n300,21.3235
s44_n400,4.2496
s44_n500,2.4716
s45_n300,23.3274
s45_n400,3.0423
s45_n500,20.7382
s46_n300,6.4113
s46_n400,6.2619
s46_n500,13.3814
s47_n300,4.5339
s47_n400,4.5868
s47_n500,35.0071
s48_n300,21.4316
s48_n400,26.7387
s48_n500,32.7252
s49_n300,3.3067
s49_n400,3.3493
s49_n500,26.9687
s50_n300,2.7894
s50_n400,12.7305
s50_n500,60.1187
s51_n300,2.3167
s51_n400,24.2299
s51_n500,10.2237
s52_n300,4.6890
s52_n400,2.1703
s52_n500,22.1471
s53_n300,3.6549
s53_n400,22.6077
s53_n500,9.1963
s54_n300,25.6556
s54_n400,9.1415
s54_n500,21.0588
s55_n300,3.9180
s55_n400,4.5892
s55_n500,26.9721
s56_n300,24.9862
s56_n400,11.8249
s56_n500,14.3839
s57_n300,25.3876
s57_n400,21.9429
s57_n500,33.2180
