protein_id,scRMSD_ca_min,scRMSD_ca_all
s42_n300,0.7793,0.9284;0.8143;0.9145;1.0157;0.9168;0.7793;1.0110;1.2587
s42_n400,0.9791,0.9791;1.3721;1.2696;1.0959;1.2314;1.1767;1.1326;2.9885
s43_n300,0.9124,1.4760;1.2207;1.3959;1.6570;0.9999;1.1020;0.9124;1.0903
s43_n400,0.8952,2.6017;10.3954;1.8857;12.8184;1.5972;1.0776;0.8952;10.7239
s44_n300,0.6872,0.7486;0.7441;0.8110;0.6872;1.0435;2.8957;0.7844;0.7613
s44_n400,1.5192,2.3004;2.0475;1.5192;2.0526;2.0061;1.9792;1.9990;1.9307
s45_n300,1.1073,1.1151;1.2097;1.2725;1.3915;1.4379;1.1073;1.2513;3.0169
s45_n400,1.1265,1.4995;2.0585;1.4063;1.6483;1.1265;1.5835;1.5797;1.7082
s46_n300,0.9407,0.9407;1.1606;2.0090;1.1014;5.1247;0.9429;2.6015;1.2964
s46_n400,1.1533,1.1533;6.9606;6.4177;6.5208;5.3418;5.2514;6.9679;6.4659
s47_n300,0.5790,0.5790;0.5941;0.8212;0.9349;0.6981;0.6874;0.5993;0.8927
s47_n400,1.1168,1.1168;1.6266;1.6937;1.2402;1.6405;1.7862;1.6693;1.3284
