protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7953623333333333,507.012,586,-8.726571815885677,5.500616264343261,0.4217318260047201,0.33666666666666667,3.725317047477846,2243.7136882994196,4,7.464431312077819,31.753798164681957,-41.65178424414725,18.07817268371582
s42_n400,400,0.8260055,954.62,96,-31.465695514007017,4.88226490020752,0.4108517363587418,0.1625,3.5582014278425826,2032.2486033503076,6,4.476798340540984,46.195301615845665,-88.40301765410246,20.925243377685547
s42_n500,500,0.8164680000000001,1076.47,41,-2.0659908350340572,6.334785270690918,0.41318740299139634,0.188,3.623977091053617,1852.0567744937591,4,3.8609864972663877,68.98046475264877,-66.64388661856859,22.075511932373047
s43_n300,300,0.7926503333333333,552.602,827,-6.156106351694888,5.4226900100707995,0.4162959615456214,0.11666666666666667,3.751697464060125,1995.4088102906453,6,7.723329122838657,35.22973394761187,-32.51495587899381,17.6871280670166
s43_n400,400,0.82176975,1033.19,2093,-5.352671149636635,5.628333473205566,0.23999147227883544,0.0,3.5167598973946843,1802.32110141055,4,4.204883325998979,67.52346979546549,-66.81013777719734,23.2076358795166
s43_n500,500,0.7949523999999999,487.559,456,3.969211879411347,9.896815681457518,0.47472329935670404,0.394,3.5756307879040676,1453.0134912241122,1,8.361106221325759,63.487395593014156,-55.93520907226403,21.868244171142578
s44_n300,300,0.8168326666666667,678.723,614,-11.212183352584745,5.203803062438964,0.19882253866014848,0.0,3.2718673001888727,1020.0565008046336,0,0.8822770509172065,41.97112448294826,-59.620841948547806,18.41263771057129
s44_n400,400,0.7758409999999999,1367.6,2210,-10.125537641349338,4.383559608459472,0.47369286524181453,0.32,3.4592595188584028,1840.1663350574956,2,8.10569448745027,6.152291023615488,-7.186854016103904,19.45648765563965
s44_n500,500,0.8175294,1549.51,24,10.846543522102138,9.041255760192868,0.41105834459995866,0.158,3.6512447567068658,1400.5285131194323,1,2.6027706635085233,86.480232337319,-44.08568995610275,23.688451766967773
s45_n300,300,0.7986050000000001,448.276,121,-13.913333920627082,5.140200233459471,0.317549466793105,0.01,3.5989897274932625,965.8850214762484,2,3.5625695439090315,39.97222502799323,-56.5656952778145,17.299495697021484
s45_n400,400,0.8051094999999999,792.854,136,-22.589372080980333,5.30912570953369,0.6330492601717718,0.755,3.6300014852346036,1084.725957348903,1,3.0197054673118986,46.43497768912593,-73.49655211621543,19.21484375
s45_n500,500,0.8123571999999999,718.036,1044,-24.39366477074462,5.357438850402832,0.4057566483541707,0.202,3.759345196788235,2801.13796951331,4,7.889746345499777,76.65004432655462,-88.66079860271995,24.038366317749023
s46_n300,300,0.8135193333333334,474.848,1386,-41.09029933756808,4.222023200988769,0.5203731237818685,0.49,3.4339724621416625,1387.6488466689623,3,4.450679666939235,20.429470598756488,-79.13201489324486,17.895137786865234
s46_n400,400,0.7718622500000001,1802.69,1192,-7.305024244037746,4.906933021545409,0.2963292115906361,0.0,3.5870526415623147,4792.936376462841,21,13.673142543992483,17.716628178781292,-13.121410293182233,19.847524642944336
s46_n500,500,0.8088604,552.477,39,-7.934340637057758,6.0299577713012695,0.5804843400474785,0.764,3.552137105754981,754.3352554756445,1,0.5208130360976099,44.63370261442955,-61.88843528931357,23.82940673828125
s47_n300,300,0.8101606666666668,525.606,1895,-19.830226813931468,4.8850500106811525,0.502141525101477,0.4766666666666667,3.3569426573285166,1137.1001379596846,3,1.871056693010923,37.644804541111945,-53.11471240820373,17.303791046142578
s47_n400,400,0.8035467500000002,486.656,3,13.647636004565555,10.775390815734863,0.5312121887860167,0.61,3.351057060688475,594.1766729049607,1,1.2099751040905404,130.29095887221536,-90.53318492968253,20.726545333862305
s47_n500,500,0.7883656,1094.52,633,0.48492330818400387,7.753202247619629,0.3169065220168644,0.038,2.1093914175054294,1004.4533188585506,3,0.8836065772637749,10.572325763556199,-3.497946393496189,23.332496643066406
s48_n300,300,0.8051236666666667,392.86,839,-5.397654880140152,6.090263938903808,0.371159043635641,0.15666666666666668,3.694693658587215,1083.1764340959483,3,1.28967234904021,54.33950906264997,-52.765423394190066,18.05657958984375
s48_n400,400,0.8288237500000001,927.884,1021,-54.01386788131096,4.438295555114746,0.4481084025002039,0.325,3.5847408234398856,1632.8504416020767,3,3.489753621811448,35.13951674352816,-109.85796137209223,20.53097915649414
s48_n500,500,0.8025868,1284.42,3380,63.74584984795007,10.00499362945557,0.2798976036434739,0.038,3.5980651457397004,2548.4260650658025,7,10.470548869776259,158.46085475430812,-14.04025122595129,21.500242233276367
s49_n300,300,0.77645,884.209,2196,-1.8703525235247636,6.363716316223144,0.40518157735214905,0.12,3.5441426066331023,2032.7388234504267,6,6.754408290847698,12.855069610867508,-16.48544952647652,17.385168075561523
s49_n400,400,0.78692225,531.067,569,-8.18276805694751,5.221479988098143,0.3491181401237318,0.1725,3.954272051627096,4093.5417401680547,11,11.819169877826004,46.71314107902054,-40.187713302902566,20.294536590576172
s49_n500,500,0.8132383999999999,885.098,2232,-9.130573510840222,5.5734270095825185,0.08007664734255289,0.0,3.0555560595817366,1208.2387471764537,1,1.3821831581985806,86.49019363441784,-85.93144894742998,23.242191314697266
s50_n300,300,0.7849573333333333,548.859,797,0.109113127682825,7.051411247253417,0.35039304619184436,0.12666666666666668,3.9621699157854033,2339.547033760562,8,8.299257709522557,39.34301156120111,-29.90711109491889,17.907812118530273
s50_n400,400,0.8141667499999999,795.898,327,-43.324036736157446,4.740678977966309,0.6587699371121347,0.9025,3.77010640643708,1262.5527409339259,1,3.948604860314023,27.182605934094557,-95.998877753296,20.78782844543457
s50_n500,500,0.785018,922.901,4629,-2.200072429292015,4.0500284194946286,0.17601430648264982,0.0,2.239913603090804,9601.524054718373,27,62.530042515072616,2.1008903481042522,-4.682222710559056,20.618560791015625
s51_n300,300,0.8047239999999999,456.194,1288,-8.281107305328632,5.213352012634277,0.4518611678851795,0.34,3.3677031463293865,990.3302439811667,3,2.495896822446237,42.76874832513137,-44.99960371390965,17.422929763793945
s51_n400,400,0.8067019999999999,774.774,3339,-5.289253424092152,5.676760292053221,0.13646581394833596,0.01,3.4076849994522727,1903.0983647420094,3,3.484528714855182,75.62608945340486,-69.58818798065572,21.150829315185547
s51_n500,500,0.7862157999999999,1488.22,40,-0.3925206992732164,6.642795753479004,0.5350793102184423,0.592,3.730107632868875,1566.709794058581,5,5.459702716345816,23.95514189330295,-38.08738965162787,22.851234436035156
s52_n300,300,0.8045526666666667,473.789,1269,-18.016152458445333,4.857426261901855,0.4468302564399431,0.2966666666666667,3.4743952908767355,1680.387190830947,5,3.9705446608852593,31.380293740687847,-57.72105437984126,17.58487319946289
s52_n400,400,0.8140515,851.655,392,-34.99399082309763,4.6453031539917,0.3775541524362843,0.17,3.8561404977702995,2067.334573795457,4,4.321266550129708,48.33612199458916,-92.76142394568126,20.679698944091797
