protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7906013333333333,110.82,71,6.155833297107613,9.989521217346194,0.37573293047101686,0.12666666666666668,3.20766816890763,3628.7186510280744,12,14.305509974400652,26.79759740318312,-16.053102066385605,18.043704986572266
s42_n400,400,0.79255875,271.973,241,8.068725624511373,9.539531898498534,0.4360480572797861,0.285,3.270631000960047,2974.253370326193,10,10.641555104120018,39.069845927487165,-31.484617947200086,20.909088134765625
s42_n500,500,0.7926222,240.287,18,12.72683177403158,9.771489143371582,0.49542482214145694,0.454,3.1575202830370768,3395.670246511807,9,12.528207514838325,57.4909488144707,-30.96699585767779,22.04328727722168
s43_n300,300,0.792517,91.5882,272,14.23874562402025,11.539341163635257,0.4080370376644415,0.2866666666666667,3.0893083948926283,3430.4768508173515,10,17.507663055204166,34.88289904568183,-10.306564872792523,17.6748104095459
s43_n400,400,0.79081625,234.797,1039,17.330937311075935,10.081968879699705,0.44431594844817623,0.37,3.20044732531972,3431.0333436370206,11,12.311417372266183,43.77204305450938,-20.29757615602995,23.219369888305664
s43_n500,500,0.8018540000000001,190.781,318,18.497786713002753,11.165037727355958,0.5190064393469982,0.496,3.285596706044462,2100.847060044578,6,10.728199081809805,70.95720521772212,-46.24976137535232,21.86454963684082
s44_n300,300,0.7841286666666667,220.644,137,12.775605220222298,10.980916023254395,0.40863027358134185,0.22,2.886987378209982,2104.313541318522,3,4.700246976226867,25.102448353598543,-10.850058214071291,18.39335823059082
s44_n400,400,0.7928122500000001,181.036,539,4.143461124909031,9.2591588973999,0.5007864422834662,0.4575,3.1263107603986695,4864.364124543258,13,25.207327390846476,17.939004112307128,-6.4458120381249895,19.47011947631836
s44_n500,500,0.8109208000000001,273.224,2,25.35423717222205,9.727199363708493,0.5807539425568338,0.742,3.165386783863858,1889.2845787693898,1,5.330180786472748,93.39981754321022,-39.71354567086895,23.69225311279297
s45_n300,300,0.8097163333333333,175.864,150,-34.210842397140084,4.723058891296386,0.45694959266778956,0.3933333333333333,3.239330446685566,1644.1322472263585,5,4.327636228415996,24.11320804895314,-69.68836717178507,17.29652976989746
s45_n400,400,0.8225784999999999,181.607,8,-28.60979903757346,5.347946739196778,0.6965316120387616,0.925,3.369370224516301,1198.7128665407274,2,3.0561542063030145,44.322188857509325,-79.52109059138763,19.184349060058594
s45_n500,500,0.8102752000000001,268.87,53,7.704546744342224,8.821160697937014,0.5405518183425517,0.6,3.6023408336578573,3482.6304782388925,8,11.238562036170215,90.16969448701064,-52.086154289751846,23.974422454833984
s46_n300,300,0.7994063333333334,106.557,369,5.849188883918114,10.467103004455566,0.4510735111929397,0.35333333333333333,3.1996684823559947,3523.0739134010296,17,14.363123203078839,28.903056940351853,-21.622935168091498,17.92062759399414
s46_n400,400,0.79480025,246.055,163,-2.214952948584365,5.286162757873535,0.5485997130456692,0.605,3.349341127158263,5271.042296921634,20,24.03175101184238,22.730693777188055,-11.389271547581767,19.839786529541016
s46_n500,500,0.8036623999999999,280.487,1,21.904810124920402,10.136960411071776,0.5725631917839187,0.622,3.251085959566861,2429.0460293977753,8,7.00317093803147,76.95321950173772,-47.681013127811966,23.820201873779297
s47_n300,300,0.7961443333333335,126.735,540,20.175457397911124,11.846726417541504,0.46362374004024465,0.2833333333333333,3.1043034370881224,1866.703260172822,7,6.661202451002405,50.25867577391351,-10.992161564710017,17.2615966796875
s47_n400,400,0.80887225,219.274,1,28.683018692156537,11.506011009216309,0.6436854628999291,0.9325,3.1270780564646636,433.3576695758183,0,1.3108449942374691,123.55320241030286,-56.779537062424154,20.65389060974121
s47_n500,500,0.7902672,291.175,8,10.570607076678861,10.114267539978023,0.7166009407565467,0.874,2.0712143144904838,1430.6561024740042,3,6.924441430031714,23.07927337996439,-7.2740878025619615,23.320858001708984
s48_n300,300,0.8077083333333334,197.162,930,-3.8435875794247707,6.533892250061036,0.5201094170555292,0.5466666666666666,3.3045321042783673,826.0732676679388,0,2.142150251424793,50.362860349788065,-44.819552736342395,18.028318405151367
s48_n400,400,0.820558,143.301,54,-38.97286246699576,4.714362525939941,0.6045118661423032,0.6975,3.1767352668955535,2628.3149348299703,6,6.3146363529166285,35.58404993492706,-107.43506964869448,20.532024383544922
s48_n500,500,0.7900727999999999,284.421,1019,21.02841181037384,9.974886894226074,0.4719187226949699,0.408,3.1020373190730037,4613.871319022019,12,16.459727778029617,51.752881993024225,-11.895464217979754,21.4945011138916
s49_n300,300,0.7966033333333333,135.36,286,7.938797571197041,10.055278968811034,0.5621970620866991,0.64,3.0689598743190225,3283.756157035302,16,15.901446724980762,13.061514640923141,-7.590928751571406,17.372283935546875
s49_n400,400,0.792663,166.177,297,9.244632265323304,9.846208000183104,0.38538139849732755,0.1525,3.3193717017333606,5122.689955012496,20,20.154240782393025,40.49502404204518,-20.03263814077972,20.27483367919922
s49_n500,500,0.7524322,395.994,2348,18.644198340130323,11.44483051300049,0.0857254658257917,0.0,2.6771530911227455,2214.234640274527,6,9.709704966046662,30.906506591450754,-6.3133899386699674,23.307079315185547
s50_n300,300,0.793672,140.021,155,8.306833750128238,9.81352252960205,0.43091497945560764,0.30666666666666664,3.2750262274894903,3414.248948399717,14,13.754788572672908,26.651370572859946,-13.425973242183806,17.893842697143555
s50_n400,400,0.7989687499999999,237.877,86,17.572575030973113,11.34438877105713,0.5614475933219502,0.5725,3.1698565135173786,2876.7239034421254,8,9.969114316456631,50.37194200909475,-47.03838169988984,20.79428482055664
s50_n500,500,0.7925626,88.8008,321,15.876888764478958,10.624921607971192,0.3658298482338392,0.084,2.4961449947467784,8442.33514061403,33,52.244345572244015,43.872250620156684,-12.128584921536833,20.61682891845703
s51_n300,300,0.7964613333333334,111.757,590,17.504831077040393,11.703155326843262,0.44084115184085354,0.3233333333333333,3.134170979945547,1907.785597863213,4,7.808410596039351,46.1509144919357,-10.687284913092723,17.448741912841797
s51_n400,400,0.78124425,218.993,1305,11.05928893381224,9.7289400100708,0.30842785366695386,0.1175,3.1606582180143024,2839.029398266819,7,9.947107400801702,32.79514439000154,-26.711292923634907,21.144224166870117
s51_n500,500,0.7918976,181.176,51,15.792006191646351,10.86622676849365,0.43127244299650325,0.328,3.1471361962342033,4052.343443886226,14,21.46383261027387,47.150276081006965,-31.187481755204455,22.835628509521484
s52_n300,300,0.796443,87.4905,23,11.720972326802798,11.191985511779784,0.45820121628334903,0.32,3.1050819823901965,2362.5402548456777,7,10.97409046130138,40.26323173790154,-21.827217880617823,17.583553314208984
s52_n400,400,0.79868,241.982,1193,-28.948457048286855,4.468874931335448,0.44701743389204457,0.365,3.4607395990062044,3763.028828659192,12,12.80478632372646,29.449144912649654,-78.11498656083225,20.65606117248535
s52_n500,500,0.7936610000000001,383.687,48,18.972127782352302,9.748151588439939,0.5075362914097273,0.464,3.1725000614833196,2740.7542505799333,7,4.51803010291165,82.34201803068747,-37.93992677507863,23.27228546142578
s53_n300,300,0.799024,109.387,125,6.2591606429305315,10.603453636169434,0.47495458045887545,0.41,3.1458739152256405,3103.071231792426,12,16.138128107490193,28.444209413662556,-21.48069380453111,17.10896110534668
s53_n400,400,0.7895452500000001,225.579,228,26.58851194335665,10.093315315246581,0.40674732102054195,0.255,3.0685523245830844,2514.333425685639,6,8.232779483608635,54.52937774873638,-14.844344441868598,20.596860885620117
s53_n500,500,0.7917714,226.293,624,9.583463844622118,9.833765602111814,0.5572399305692224,0.66,2.742438524530727,2574.2381603986755,5,9.48543640222064,29.821714764137567,-6.416537398744489,24.480838775634766
s54_n300,300,0.7790496666666668,170.752,629,15.110236240246891,11.572348976135256,0.3798836683913231,0.31,2.9164544739832325,2599.8922041791925,6,10.364372869066617,22.904272689936487,-6.233055381473395,18.217470169067383
s54_n400,400,0.79975825,214.717,196,3.2055075787876177,9.334457969665529,0.5119265024611473,0.485,3.29702727200373,1683.5190319452224,2,4.881963793236305,62.03668018855106,-58.03449137853902,21.5318660736084
s54_n500,500,0.7950234,281.781,658,8.819688074885386,9.711340141296386,0.74975671715632,0.96,2.2879067289107597,2886.7244999645004,12,13.983143336117948,14.128430093968847,-2.047180725504919,22.012920379638672
s55_n300,300,0.7967986666666667,81.2179,70,7.95864752312378,11.11256046295166,0.46631571310526093,0.37,3.07449463084356,2854.1308139065095,9,10.698561553409371,26.84012405492856,-15.994470207498479,18.130996704101562
s55_n400,400,0.7957952500000001,226.605,5,2.569335570999243,8.552585411071778,0.4310397440653589,0.245,3.5694596079386236,3564.3098950967483,12,13.640323378705343,49.18144337738413,-46.41474587768331,21.198223114013672
s55_n500,500,0.7957802,371.268,177,12.87020852651166,9.715595054626462,0.4982608792005485,0.492,2.98016115919392,3872.778848877854,11,13.759373034333748,45.97538571429027,-20.578266486293785,21.751388549804688
s56_n300,300,0.7867443333333334,212.694,182,2.659156327234065,9.035324668884279,0.25079595097852464,0.07,3.182633057974775,2868.666306460464,10,6.826236271820655,52.27769231027129,-52.272119814918454,19.066726684570312
s56_n400,400,0.7802074999999999,197.506,743,8.978698916997931,10.167776298522949,0.4101589720812457,0.2275,2.8697794600789015,2883.8966837543053,4,13.568866246815432,37.03668585516991,-17.98949002007832,23.803813934326172
s56_n500,500,0.7860626,398.486,515,12.653622917085144,9.891593742370606,0.48269680673965876,0.412,3.0628583461530736,2922.089087339651,9,7.960656606674418,67.73500320162644,-36.95605611946026,23.576950073242188
s57_n300,300,0.7870473333333333,179.549,424,7.5966525607488045,9.736547279357907,0.4391152568226819,0.33666666666666667,3.0884046636686326,2380.978772460038,6,8.450921399260068,22.893405538820325,-14.615610427339508,18.087522506713867
s57_n400,400,0.8040487500000001,265.148,51,-1.4270361969808931,6.545373725891113,0.4918184060588814,0.4175,3.4806990585095465,2581.5335356887235,9,8.724217334007957,61.79282786606412,-45.47935850980029,19.137943267822266
s57_n500,500,0.7893254,379.892,459,21.022671244586157,10.08564357757568,0.555716884673677,0.69,2.6324051390572154,2837.7618164295895,5,7.717391736545391,54.07317424482285,-12.685193787467302,21.907617568969727
