protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7886133333333334,598.039,646,-9.759357105650743,5.354710578918457,0.35386727326682166,0.23666666666666666,3.872491745145451,2549.954705350277,5,8.307307680629155,31.526799990685955,-39.58635001648775,18.0765438079834
s42_n400,400,0.81743875,1044.9,829,-38.104233514377796,4.531113624572753,0.35395108821398935,0.0525,3.57691958097181,2308.891017160376,7,5.748155324116502,35.65119572569607,-89.86378676697956,20.92115592956543
s42_n500,500,0.8093032000000001,1076.74,362,-11.0100041286545,5.36369113922119,0.3675794551962836,0.094,3.6600369245276125,2112.1774725642026,4,5.921096562701385,60.07990901124562,-68.84279271441301,22.070602416992188
s43_n300,300,0.787075,587.439,979,-7.845105112553661,5.4797563552856445,0.350864952745443,0.02666666666666667,3.8499993367010106,2295.201548324605,7,9.845825646997227,30.501828790350256,-30.853187891032213,17.688228607177734
s43_n400,400,0.8177205000000001,1113.8,2714,-10.369853983481363,5.2650754928588865,0.20462807068105227,0.0,3.501608367358113,2198.5787859652073,8,5.404280716056921,60.668865212300005,-65.91365723813689,23.207963943481445
s43_n500,500,0.7900052,586.194,1284,-7.295729510495718,5.943846702575684,0.3784412866303908,0.148,3.667505454496589,1658.4967084329987,1,9.019185698250444,58.86280196271071,-61.48102621732996,21.855985641479492
s44_n300,300,0.8079013333333334,740.515,653,-10.408910644196645,5.080235099792478,0.15640954846587604,0.0,3.2429458944000813,1254.7410615951605,1,1.363699114122004,40.784153865674554,-54.54884081164355,18.401010513305664
s44_n400,400,0.7725839999999999,1429.3,2204,-12.214689831801923,4.103229713439941,0.4383500378700381,0.2325,3.4186687135187643,2122.5711553560805,4,8.932572270310981,4.102165113468483,-7.248544504677401,19.45480728149414
s44_n500,500,0.8137705999999999,1582.66,60,3.72723996273389,8.380196952819826,0.3664885190654459,0.09,3.655226198897982,1421.3927516947797,1,3.0617107560030203,83.61724303011971,-46.7481172452904,23.68809700012207
s45_n300,300,0.7977336666666668,589.46,496,-26.7464444716623,4.691342735290527,0.3088411578493298,0.07,3.7455491633158973,1067.4051684091107,2,4.26519477532351,26.321186686506202,-64.72730879086248,17.303804397583008
s45_n400,400,0.80218975,878.224,516,-25.440698466310437,5.2151708602905265,0.6142596350681305,0.7175,3.7304663826565085,1326.8968221082052,1,4.531752698657888,44.419424918921436,-68.12470930667122,19.222553253173828
s45_n500,500,0.8112212,750.149,1040,-24.397884294822305,5.353460121154785,0.3973882763929403,0.178,3.7605100642356497,2904.015600949659,4,8.815200381380306,75.90351307964579,-87.75734727787764,24.036392211914062
s46_n300,300,0.8067163333333334,509.926,1204,-41.86287936443303,4.195024681091309,0.43692033333320185,0.34,3.594865231096431,1444.4231447968152,3,5.075729692830608,15.558895595163952,-76.46053025719365,17.885522842407227
s46_n400,400,0.77085975,1796.63,1253,-11.394044674649486,4.539866828918457,0.27509199713916865,0.0,3.5777404432805526,4957.276675912461,23,14.4773351107157,15.25361602698225,-15.43556831437955,19.84632682800293
s46_n500,500,0.8067624,560.169,42,-3.9544410512229007,6.385542488098144,0.5787630358156848,0.758,3.543146006860238,679.3705358229776,1,0.1693271345497742,43.94443372399097,-55.900766649276164,23.822689056396484
s47_n300,300,0.8001473333333334,577.102,2002,-13.77787604994245,5.082224464416503,0.4093696164686691,0.24333333333333335,3.4416626731429933,1538.2645316251387,5,4.429709987495009,33.559562919203294,-41.53382309318036,17.290334701538086
s47_n400,400,0.7968940000000001,483.498,42,8.594970959720698,9.432772254943849,0.4657058061507554,0.395,3.478761198637865,642.4596805178089,1,1.8605226336354923,128.2689403841262,-88.33552247885851,20.728315353393555
s47_n500,500,0.7855774,1145.4,632,2.4507201748803977,8.690805625915527,0.28571345372719836,0.038,2.1252544983208184,956.7558782895926,2,0.8892455577871963,12.460108672671446,-2.5968530150248563,23.33846092224121
s48_n300,300,0.8100206666666668,459.017,812,-23.596969326138797,4.894598960876464,0.37079960883822544,0.17333333333333334,3.8776745480711994,1209.1269440548747,3,1.8485712622833301,40.62674335917912,-72.88621906688161,18.059959411621094
s48_n400,400,0.8265762500000001,1034.34,1244,-76.00722547869832,4.098512077331542,0.4383035503989815,0.295,3.589381936509843,1825.8277074654675,5,3.819049579706165,18.400799556149348,-138.5574029393602,20.53492546081543
s48_n500,500,0.7955945999999999,1439.03,4319,69.70388261282032,10.118909263610838,0.23639345064604503,0.028,3.625165045276062,2787.1460220412023,7,11.264351577977296,155.64862417380067,-7.991089847557215,21.495895385742188
s49_n300,300,0.7707376666666668,894.748,2226,6.193535508868935,9.846981620788572,0.38465918047729536,0.08666666666666667,3.5088228021947443,2015.0963456088048,6,6.7678915125228265,13.592242352575997,-7.105012011819505,17.384292602539062
s49_n400,400,0.784187,636.439,575,-4.202901894040345,5.644930458068848,0.32375734403846507,0.12,3.979484374842222,4237.78431883238,11,13.005885765855314,47.28057857386998,-34.93826913730804,20.2930908203125
s49_n500,500,0.8028166,1088.64,3089,21.77263127464522,9.337036705017091,0.060172672863355925,0.0,3.08010787180231,1303.3421926249298,1,2.2082254856871737,100.27207085619202,-55.85057270246536,23.24300765991211
s50_n300,300,0.7794869999999999,585.845,1029,-4.902543562998435,5.821131324768066,0.25756909654813387,0.05,4.035684850070603,2543.380389628068,9,9.598848296067414,34.443261727955125,-27.678676258413546,17.905134201049805
s50_n400,400,0.80267425,971.568,516,-44.110762734473084,4.6925363540649405,0.4996039009659974,0.475,3.9012823491409563,2337.7424493294816,5,7.353055902475575,19.798600678265384,-88.59462591798454,20.81072998046875
s50_n500,500,0.7833935999999999,950.901,6125,-0.20412541214591307,5.57001667022705,0.16996583797195033,0.0,2.2123746286567094,9899.527095040688,25,65.5814171886711,0.0,0.0,20.626741409301758
s51_n300,300,0.7974393333333334,575.596,1374,-2.0467621197388084,6.206840705871582,0.40334765103994696,0.2,3.493306050597524,1329.6323898311853,3,4.384529616506214,46.274547510812,-37.084814052455506,17.42432975769043
s51_n400,400,0.7968735000000001,917.281,4544,8.564846338500004,8.890528678894043,0.07917989642143193,0.0,3.4583205434173223,2266.1293221523674,6,4.3636495011090055,84.51975110151267,-51.63372869388388,21.151878356933594
s51_n500,500,0.7800908,1570.67,78,-1.4168952787096956,5.8903612136840815,0.4512495171101071,0.246,3.6531318867780636,2151.767417106218,5,9.044508667695762,10.552468056903448,-24.956200831644843,22.85268783569336
