protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.7916003333333334,310.013,42,-7.754955279557308,5.5538743972778315,0.40019717986931275,0.27666666666666667,3.6702961399843526,2577.499109143989,5,8.472989043396431,33.18757064308534,-40.05534002148155,18.07425308227539,2.587155
s42_n400,400,0.8115675,681.982,246,-25.949692469186203,4.790697288513184,0.4193804753993247,0.145,3.4923085687005764,2560.0188842385232,9,6.805034802018571,37.396858432947525,-73.79509586777134,20.91744041442871,2.911460
s42_n500,500,0.8010392000000001,809.964,244,10.041197775824813,8.997546195983887,0.3678959278087481,0.086,3.6995148753497937,2513.913922254378,8,6.641298205343451,69.88615523040704,-42.938177363478644,22.070701599121094,2.225311
s43_n300,300,0.7881636666666666,343.205,569,-7.741196489072955,5.587523078918457,0.3572141052249128,0.06333333333333334,3.6648172925058176,2417.205886325228,5,10.230584568829821,31.38450969308916,-31.077181903046185,17.69377326965332,2.452703
s43_n400,400,0.8075910000000001,502.166,1035,-6.382040051190259,5.474981880187988,0.22730615276241564,0.0,3.4121064391941327,2926.3434736589197,11,7.262845690437318,57.80087642383203,-59.73097128418195,23.218568801879883,2.942631
s43_n500,500,0.7926251999999999,444.752,507,1.572217690660878,7.463096046447753,0.4183201034172954,0.198,3.547457091247227,1663.0973435202907,2,11.001429211724773,64.70597552814448,-55.75525139705462,21.865907669067383,3.801311
s44_n300,300,0.7896086666666667,330.901,98,4.6229457845599455,8.904776191711427,0.22660315967687722,0.023333333333333334,2.9318371592700165,1642.6344456065008,1,3.4353287835798603,37.98569345824946,-34.10211403153044,18.41036605834961,2.068523
s44_n400,400,0.7737155,1169.67,1856,-11.21070382770592,4.199060249328612,0.45848288646540153,0.3,3.3932737989859674,1967.4606141557874,1,8.555131034078462,5.972161697662237,-7.248307804173967,19.45720672607422,-0.577452
s44_n500,500,0.80725,1270.02,77,7.802620482249324,8.785832023620607,0.31282559900192736,0.054,3.7035037956430688,2085.6299456288207,4,5.797984024488011,82.5829178355756,-41.53337313184717,23.695314407348633,2.311994
s45_n300,300,0.792428,323.146,8,-16.337387291827653,5.236769676208495,0.3479212176402255,0.05,3.4892991837987637,1023.0539750216694,3,4.3702642668636225,32.87589343850624,-54.484064872828384,17.30438995361328,3.357846
s45_n400,400,0.8061785,586.881,85,-24.975546820507702,5.426100349426269,0.6366090037560361,0.8425,3.543298403381891,1349.958651274591,3,4.50506527248916,40.16744491074474,-74.48940816540886,19.201030731201172,4.119062
s45_n500,500,0.8095513999999999,733.649,893,-17.403555218268735,5.671815299987793,0.38241002635660043,0.146,3.7511746185228887,3000.1020094381324,4,8.98627689016951,78.27995368475331,-85.0795299830629,24.029926300048828,3.500816
s46_n300,300,0.8013106666666666,339.043,362,-28.448313153595286,4.556065940856934,0.4312943053855209,0.22666666666666666,3.5455468953845246,2127.6030113472407,7,7.9386210584541255,21.090823034909757,-58.78597291912569,17.892738342285156,2.562462
s46_n400,400,0.7659322500000001,1779.58,1062,-13.49010509121213,4.314102363586426,0.22235067854112203,0.0,3.4982941204095646,5432.338287417882,24,17.00596747013398,12.222053661310776,-12.120776775484671,19.840662002563477,0.249289
s46_n500,500,0.8041986,552.586,39,-0.9592047339111716,6.795124244689941,0.5817607659694054,0.76,3.540475908009797,1041.2936618081067,2,0.8252703683084275,44.98717941807811,-53.64190870948828,23.825563430786133,1.498554
s47_n300,300,0.7985580000000001,337.641,976,-4.786066796533191,5.9081518173217775,0.44802656689177855,0.34,3.4111515491887174,1832.839164701855,4,5.848849762028403,39.35797797561024,-34.88393846313649,17.300708770751953,3.442946
s47_n400,400,0.805493,356.493,25,2.871696230266238,8.525573158264159,0.5393038986699156,0.585,3.3973110623942717,601.7581653831663,1,2.0838718646163694,120.17777273949876,-86.9119859263601,20.71373176574707,6.437931
s47_n500,500,0.7886152000000001,700.581,207,5.50072928438602,9.854073143005369,0.4261100448069776,0.254,2.0443565039437828,1135.5417051191334,4,1.7533345637740216,18.880395293856402,-3.224261708589471,23.324668884277344,-1.442467
s48_n300,300,0.7999083333333334,267.283,1106,-10.058643794962954,5.821586036682128,0.4111080504229946,0.24,3.6106529834732006,1314.9468265452801,4,3.1419794783328574,46.557224221499226,-55.18554988661981,18.062450408935547,3.883436
s48_n400,400,0.81174975,555.122,1252,-55.7688825475281,4.329789924621584,0.34683663172926954,0.0625,3.632113325928229,2567.148724635807,7,5.9082617132772315,25.31870822771353,-111.23442552245817,20.525592803955078,2.998935
