protein_id,coScRMSD_ca
s42_n300,21.1000
s42_n400,39.9490
s42_n500,18.6480
s43_n300,30.1941
s43_n400,29.0138
s43_n500,20.0759
s44_n300,31.9948
s44_n400,3.9161
s44_n500,3.3610
s45_n300,17.2110
s45_n400,14.4841
s45_n500,19.1850
s46_n300,31.2156
s46_n400,6.9671
s46_n500,26.5471
s47_n300,28.1451
s47_n400,18.9183
s47_n500,29.6491
s48_n300,31.4118
s48_n400,32.9832
s48_n500,17.1110
s49_n300,26.8194
s49_n400,29.0102
s49_n500,37.6327
s50_n300,28.4141
s50_n400,16.6530
s50_n500,28.2026
s51_n300,32.1171
s51_n400,29.8445
s51_n500,22.1644
s52_n300,3.3267
s52_n400,32.4561
s52_n500,30.2256
s53_n300,34.9767
s53_n400,29.8215
s53_n500,15.9377
s54_n300,25.9828
s54_n400,26.5874
s54_n500,24.0458
s55_n300,33.9028
s55_n400,27.9204
s55_n500,33.2252
s56_n300,37.0968
s56_n400,25.5577
s56_n500,29.3711
s57_n300,35.7916
s57_n400,22.7812
s57_n500,30.9159
