protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7894013333333334,535.687,627,-8.760356106649745,5.456395530700683,0.36987862437553515,0.2866666666666667,3.8678713945293524,2511.5822801528084,6,8.641647019888694,33.11962620965624,-39.44047909164806,18.07685089111328
s43_n300,300,0.7859023333333333,526.409,962,-6.932167540767395,5.513064002990721,0.33610431169236665,0.02666666666666667,3.8594002288666864,2194.151146835238,5,9.947103078571594,30.487355087493974,-32.21128956736695,17.693132400512695
s44_n300,300,0.8052356666666666,713.366,578,-4.423149495086491,5.4924314498901365,0.13791613037910574,0.0,3.2344034632543384,1373.0339495467617,2,1.9415092736949984,43.85063670438302,-48.31333199868039,18.398656845092773
s45_n300,300,0.7931906666666667,484.855,118,-19.754915857181935,4.9061372756958,0.2938714361815447,0.01,3.6373180610589184,1149.0920239272475,2,4.212215961089523,32.42721591500404,-60.32485451618336,17.2943172454834
s46_n300,300,0.8058170000000001,463.105,1263,-38.95188501346183,4.23395938873291,0.43581104481612937,0.32,3.538768153811427,1576.2394381612353,4,5.260269527183782,16.38872627883088,-72.35290267535902,17.895341873168945
s47_n300,300,0.7997593333333334,525.519,2260,-15.776857049143445,4.969512748718262,0.41567650093853725,0.2833333333333333,3.4046036313005645,1487.6355658814566,3,4.60591839814977,32.06030918755419,-47.81736988148433,17.29117774963379
s48_n300,300,0.7995463333333334,428.355,786,-11.810871936649448,5.312422370910644,0.20662315452499816,0.0,3.8047687757889253,2091.160496598998,7,3.950522668499946,46.04096385061296,-59.40303657467089,18.068984985351562
s49_n300,300,0.7709506666666668,872.682,1917,6.193535508868935,9.846981620788572,0.39225340747868404,0.09333333333333334,3.5092757679312356,2036.8207076938252,6,6.731844598968922,13.713490414381937,-7.3746161815581255,17.38630485534668
s50_n300,300,0.778396,552.044,949,-4.986917289179818,5.726380729675294,0.23135602327583105,0.03,4.021175650304244,2731.9958759266356,10,9.615889704724186,35.819060818760946,-29.05042493854721,17.910558700561523
s51_n300,300,0.7958756666666666,516.556,1369,-3.1342346090580335,5.875412559509278,0.40085842780263437,0.19666666666666666,3.4527498297867556,1547.1722682833545,5,5.372443360846889,46.49847568772649,-37.92983743109979,17.42146110534668
s52_n300,300,0.7938780000000001,500.252,1256,-18.14373086240939,4.732209968566894,0.33917279974145215,0.06333333333333334,3.638011114693676,2145.152298445073,6,6.1979283776018415,30.92802581652662,-50.66917886533328,17.58939552307129
s53_n300,300,0.8110713333333334,462.18,666,-42.6823346801141,4.1734827041625975,0.6220136538190811,0.7833333333333333,3.445913828419361,1044.3268833981451,2,3.626436938571361,15.400480409609036,-82.45284474196004,17.134395599365234
s54_n300,300,0.7951060000000001,1052.96,652,-15.06729099617641,4.993839836120604,0.07316326957820768,0.0,3.4924326799579117,1506.5509074196461,1,2.205519382223764,35.816939762266685,-61.76708013853017,18.211719512939453
s55_n300,300,0.794014,417.999,1551,-12.806269513514074,5.065684318542479,0.41111983382407896,0.20666666666666667,3.6129384442433063,2415.5804127620095,3,7.956080112442332,28.93482565707714,-47.59276701218779,18.142179489135742
s56_n300,300,0.822586,515.556,534,-22.261242641629337,4.8915864944458,0.1580991719872108,0.0,3.2438083825351716,1453.0217219014814,3,2.7223290156627993,41.9950147025289,-77.8981581625365,19.09287452697754
s57_n300,300,0.8099373333333334,491.499,535,-8.073261313337717,5.507777976989746,0.1362853774594645,0.0,3.446902647327897,762.0617997751406,0,1.4486104178212191,51.30296575019861,-47.16380217460399,18.08502769470215
