protein_id,coScRMSD_ca
s42_n300,5.3272
s42_n400,5.0678
s42_n500,7.7606
s43_n300,1.3096
s43_n400,6.2063
s43_n500,14.3362
s44_n300,21.9880
s44_n400,2.9276
s44_n500,1.6812
s45_n300,14.5113
s45_n400,14.9993
s45_n500,23.8570
s46_n300,1.9121
s46_n400,3.9916
s46_n500,16.1269
s47_n300,1.9433
s47_n400,3.1191
s47_n500,7.4446
s48_n300,19.7072
s48_n400,14.9279
s48_n500,10.4222
s49_n300,1.5759
s49_n400,2.5009
s49_n500,24.3021
s50_n300,3.2948
s50_n400,8.6142
s50_n500,52.6457
s51_n300,1.4097
s51_n400,20.1108
s51_n500,9.8250
s52_n300,1.5269
s52_n400,1.2302
s52_n500,11.3482
s53_n300,2.9105
s53_n400,19.8205
s53_n500,3.5342
s54_n300,24.6695
s54_n400,6.9897
s54_n500,17.9148
s55_n300,1.2734
s55_n400,2.0208
s55_n500,11.2373
s56_n300,31.1536
s56_n400,13.1338
s56_n500,12.6105
s57_n300,25.8607
s57_n400,15.1471
s57_n500,19.1707
