protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7953606666666667,354.442,297,-3.970022101084787,5.882290077209471,0.47471699062982214,0.43,3.5191235650712063,2325.9587243476044,4,7.082797025499704,40.25910056412584,-37.17756799130171,18.078153610229492
s42_n400,400,0.8269300000000002,735.624,94,-35.34963878108431,4.852310752868651,0.452344022939359,0.2625,3.5479525004609855,1949.0827512456062,5,3.6821556496926044,45.52938043199398,-95.57465440430197,20.923301696777344
s42_n500,500,0.8093874,969.622,43,7.812084671341879,8.82264347076416,0.3955216754722203,0.138,3.6741979209576763,2119.9433253718057,6,4.464279514888635,76.6801259892783,-60.32488627142868,22.07779884338379
s43_n300,300,0.797131,343.872,552,-3.8835620358922682,5.9819856643676745,0.4666858190499825,0.35333333333333333,3.6476014190577932,2057.1736629368033,7,7.668830022608062,34.876153023887824,-31.90051551315785,17.705196380615234
s43_n400,400,0.8220240000000001,656.911,1682,-3.2588422550536507,5.939072227478028,0.28226744897218653,0.0475,3.489592296353718,1810.1377868713744,4,4.570515179299677,65.42429360766128,-64.5000065167221,23.20010757446289
s43_n500,500,0.7983424,433.505,232,7.673344189781517,10.49914379119873,0.5039833632875074,0.482,3.5149325911061347,1470.8167930232557,1,8.548211355474965,67.59964110827504,-58.56043208562568,21.868873596191406
s44_n300,300,0.8205906666666667,279.069,75,-12.20344366570049,5.1723142623901355,0.36433104513382814,0.18333333333333332,2.9434363204364655,1009.4324514570251,0,0.918166148399462,43.208522779854796,-59.91946448961835,18.407642364501953
s44_n400,400,0.7796347499999999,1365.05,1600,-7.685670696080397,5.127979850769043,0.514240488582763,0.49,3.535067484762627,1456.7584366158617,2,4.073937077804002,8.101688481667281,-6.903254434794727,19.46312141418457
s44_n500,500,0.81814,1460.52,30,10.852042686107708,9.046477699279784,0.4117061967916395,0.126,3.657053446913059,1512.7273187119492,2,2.970141274095141,88.42465968206255,-44.35280576113199,23.693525314331055
s45_n300,300,0.8029473333333335,251.603,4,-10.64505488939411,5.477425956726075,0.4591526365615368,0.2966666666666667,3.3537063987670046,984.0245132001215,2,3.5069594006690927,43.71693811317138,-55.384714867496854,17.307222366333008
s45_n400,400,0.80484,590.391,90,-14.416214464711004,5.7886762619018555,0.6135075384992779,0.7975,3.542471619504698,1119.7027768080363,1,2.7738499820970213,52.209705652067726,-65.01858802408705,19.202425003051758
s45_n500,500,0.8124207999999998,708.231,1031,-16.392857528986468,5.728995323181153,0.41238188009383714,0.22,3.735160291420727,2631.555833825196,3,6.271608566194787,82.58486005126656,-86.92601224363722,24.037935256958008
s46_n300,300,0.81211,372.489,705,-34.92640034877654,4.385890007019043,0.5191739636477105,0.49333333333333335,3.456150237456087,1654.3682355123738,4,5.795019913647983,23.482643422712613,-71.99384310270747,17.89101219177246
s46_n400,400,0.7724315,1773.59,1097,-6.392086672251484,4.926769828796386,0.3093245010737388,0.0,3.578701301007395,4816.5101711838015,23,14.004920951936757,20.688929385706587,-12.95260648417563,19.8466739654541
s46_n500,500,0.8056425999999999,530.529,22,2.052667814616022,7.936525535583496,0.5853529862940778,0.792,3.570446975529111,911.600470963394,2,0.3793653931270926,49.42944015250128,-55.030267013054505,23.82693862915039
s47_n300,300,0.8083356666666668,369.843,1096,-12.011824054879597,5.149521827697753,0.5165350480825841,0.54,3.2778121103605393,941.1572690024265,1,1.6639743194988894,40.673918064819645,-47.11091020317743,17.300180435180664
s47_n400,400,0.8050865,379.324,5,12.76532562309238,10.792732810974119,0.5242759512150136,0.5825,3.256008467245481,432.1979186582092,1,1.0337894626103115,133.74792840511566,-88.11074932090858,20.71875
s47_n500,500,0.7917594,940.355,492,4.502540745360229,9.648161125183105,0.37131546258973874,0.118,2.096775261796724,952.2204948610353,2,0.8779523420170553,19.37051608054186,-3.710492995959947,23.324094772338867
s48_n300,300,0.8024633333333334,255.301,799,-11.116501278838882,5.73087100982666,0.4629307197992978,0.3466666666666667,3.447470912068939,914.9961870151903,3,1.4759507180062428,47.426367933014305,-56.64394552370801,18.049386978149414
s48_n400,400,0.82643725,651.676,414,-51.83465147796467,4.486779212951659,0.463365862058686,0.3475,3.5287998126741758,1596.5180977466102,3,3.5685225394711644,38.37143970242958,-110.21175898576722,20.52606773376465
s48_n500,500,0.8024074000000001,1131.03,2871,65.81732558103542,9.999513816833495,0.2873348563402006,0.034,3.6116089525303368,2544.1135724275973,4,9.980862563227017,159.63641598491654,-13.573058121424156,21.505929946899414
s49_n300,300,0.7774886666666667,699.366,949,0.8751536526531751,7.973401451110839,0.4746340053855124,0.41,3.439262836564771,2085.4252320564406,6,6.492369616097291,14.841908738564396,-17.476145926216535,17.386566162109375
s49_n400,400,0.78874125,524.316,535,-10.247381590314966,5.070515632629394,0.37574904618712407,0.1975,3.887359771713046,4059.244910874309,10,11.680558275864051,45.25208062631286,-43.672986101341365,20.290184020996094
s49_n500,500,0.819038,668.601,1172,-14.105505893705143,5.38193645477295,0.14791650015933147,0.0,2.991049690317653,1119.496758366233,0,1.252427155503133,89.24701581048251,-96.6404157549425,23.24788475036621
s50_n300,300,0.793117,445.235,371,-1.0799801873198334,6.481316184997559,0.47041142330447483,0.4666666666666667,3.793397767970527,2211.8324924857106,9,7.113228408063333,41.539248296473176,-32.33724894785625,17.90274429321289
s50_n400,400,0.8097442499999999,582.955,120,-31.171713656915344,5.113031196594237,0.6370116529645447,0.835,3.763278638576821,1382.5192998849006,1,3.42994671455165,31.991703191656377,-89.01392605908589,20.783235549926758
s50_n500,500,0.7915319999999999,512.187,1536,18.778705029847277,10.954355049133298,0.2660517743280937,0.0,2.373044109423287,8590.889044168667,28,51.88259421037284,28.876904470576108,-0.8319054058061549,20.618579864501953
s51_n300,300,0.8028696666666667,346.855,200,-2.293358154120476,5.896954536437988,0.5293936271035375,0.57,3.3848381404047867,1092.6515771918316,1,2.370826084080854,49.86423082507412,-39.301278466616864,17.421419143676758
s51_n400,400,0.8120477500000001,470.76,1674,-6.178544095534193,5.673406791687013,0.22964287969336097,0.025,3.2950447399340894,1690.514210493741,3,2.587456042882168,71.5957201570703,-73.3473700129912,21.143047332763672
s51_n500,500,0.7900507999999998,1329.16,38,29.516743514530503,11.119651985168456,0.6485920631159704,0.842,3.7158091896014604,1025.9653112778808,2,3.5884681291486022,44.72045300731741,-22.73242339667741,22.844697952270508
